index,Name,City,Latitude,Longitude,Category,Address,Country,Country2,City2,Query
0,PS 156 Waverly School of the Arts,Brownsville,40.66567683356609,-73.91771197131452,School,104 Sutter Avenue,United States,United States of America,New York City,school
0,Magic Kingdom Nursery School,Brooklyn,40.67018205737286,-73.94209856799199,School,Kingston Ave @ Lincoln Place,United States,United States of America,New York City,school
0,Dr. Eliot Kaplan,Brooklyn,40.669957000000004,-73.94309,School,763 Eastern Pkwy,United States,United States of America,New York City,school
0,I.S. 390,Brooklyn,40.67188868511312,-73.9371343201782,School,1224 Park Pl,United States,United States of America,New York City,school
0,KIPP: AMP Academy,Brooklyn,40.67220541095383,-73.93708716600939,School,,United States,United States of America,New York City,school
0,Old Boys High Field,Brooklyn,40.65866658523819,-73.93842673009168,Field,,United States,United States of America,New York City,school
0,Lubavitcher Yeshivah,Brooklyn,40.665600309662985,-73.93955458060768,School,570 Crown St,United States,United States of America,New York City,school
0,Ps 289,,40.674757243228306,-73.94216856330884,School,,United States,United States of America,New York City,school
0,PS 91,Brooklyn,40.662249695889216,-73.94019275800358,School,532 Albany Ave,United States,United States of America,New York City,school
0,Varsity Tutors - New York,Brooklyn,40.676815,-73.94119,School,89 Kingston Ave,United States,United States of America,New York City,school
0,Ps 221,Brooklyn,40.663829987665075,-73.93595054133993,School,,United States,United States of America,New York City,school
0,Batsheva Academy,Brooklyn,40.662878000000006,-73.93719899999999,School,447 Troy Ave,United States,United States of America,New York City,school
0,M.S. 391 Mahalia Jackson,Brooklyn,40.66247927391818,-73.93632367643607,School,790 E New York Ave,United States,United States of America,New York City,school
0,George C. Conliffe,Brooklyn,40.673418,-73.928833,School,1435 Prospect Pl,United States,United States of America,New York City,school
0,P.S./I.S. 394,Brooklyn,40.672693,-73.928475,School,188 Rochester Ave,United States,United States of America,New York City,school
0,KATT Ventures,Brooklyn,40.675863,-73.949269,School,1104 Bergen St,United States,United States of America,New York City,school
0,Mothers Daycare,Brooklyn,40.665134,-73.950645,School,955 Nostrand Ave,United States,United States of America,New York City,school
0,Public School 138,Brooklyn,40.674373301261426,-73.95136185746077,School,,United States,United States of America,New York City,school
0,P.S. 93K,Brooklyn,40.678913,-73.946503,School,31 New York Ave,United States,United States of America,New York City,school
0,The League School,Brooklyn,40.659675,-73.941925,School,567 Kingston Ave,United States,United States of America,New York City,school
0,St Francis Of Assisi School,Brooklyn,40.661460999999996,-73.94907099999999,School,Lincoln Road,United States,United States of America,New York City,school
0,Atlantic Ave. Early Learning Center,Brooklyn,40.6774425154776,-73.9292512090564,School,,United States,United States of America,New York City,school
0,Leadership Prep Bedford Stuyvesant Charter School,Brooklyn,40.681641201057,-73.94534758629064,School,141 Macon St,United States,United States of America,New York City,school
0,Little Red Riding Hood Day Care,Brooklyn,40.662366999999996,-73.953252,School,237 Lefferts Ave,United States,United States of America,New York City,school
0,Freebrook Academy,Brooklyn,40.68138438233186,-73.93177137919923,School,,United States,United States of America,New York City,school
0,Friends Of Crown Heights Day Care Eductional Center # 7,Brooklyn,40.667874,-73.957126,School,995 Carroll St,United States,United States of America,New York City,school
0,Lefferts Gardens Montessori,Brooklyn,40.65899369567027,-73.9532799410054,School,527 Rogers Ave,United States,United States of America,New York City,school
0,P.S. 21 - Crispus Attucks,Brooklyn,40.68047152752866,-73.92560358676538,School,180 Chauncey St,United States,United States of America,New York City,school
0,Mary Bobb Learning Academy,Brooklyn,40.658344780460595,-73.95032017213485,School,,United States,United States of America,New York City,school
0,Public School 241,,40.66815891390372,-73.96054721555308,School,,United States,United States of America,New York City,school
0,Robin St. Clair,Brooklyn,40.681704,-73.9290879,School,324 Malcolm X Blvd,United States,United States of America,New York City,school
0,Brownsville Ascend Charter School,Brooklyn,40.663959721249135,-73.92144364058002,School,123 E 98th St,United States,United States of America,New York City,school
0,Jackie Robinson MS K320,Brooklyn,40.66534508895211,-73.95933515404877,School,,United States,United States of America,New York City,school
0,P.S. 262,Brooklyn,40.683319428253895,-73.92958991264238,School,,United States,United States of America,New York City,school
0,PS 241,Brooklyn,40.668917,-73.960525,School,976 President St,United States,United States of America,New York City,school
0,Explore Charter School,Brooklyn,40.65632041575676,-73.95066814263886,School,655 Parkside Ave,United States,United States of America,New York City,school
0,M.S. 2 Beacon,Brooklyn,40.656157465803226,-73.95111646856455,School,655 Parkside Ave,United States,United States of America,New York City,school
0,Dr. Peter Ray School P.S. 305,Brooklyn,40.685736999999996,-73.945276,School,344 Monroe St,United States,United States of America,New York City,school
0,PS 44 - Marcus Garvey Elementary School,Brooklyn,40.686232000000004,-73.940939,School,Throop Avenue,United States,United States of America,New York City,school
0,P.S. 22 - The Children's International School,Brooklyn,40.67681017514722,-73.95979877417227,School,443 Saint Marks Ave,United States,United States of America,New York City,school
0,Brooklyn Ascend Charter School,Brooklyn,40.66194037936552,-73.9209320698502,School,,United States,United States of America,New York City,school
0,Brooklyn ascend school,Brooklyn,40.661768,-73.921032,School,205 Rockaway Pkwy,United States,United States of America,New York City,school
0,PS 316,Brooklyn,40.674618667998566,-73.96119535804466,School,750 Classon Ave,United States,United States of America,New York City,school
0,PS 235,Brooklyn,40.65319014325405,-73.9400148049087,School,,United States,United States of America,New York City,school
0,PS 3 Bedford Village School,Brooklyn,40.68251230815424,-73.95481739316537,School,50 Jefferson Ave,United States,United States of America,New York City,school
0,Ps 22,,40.67721354328577,-73.96026596439529,School,,United States,United States of America,New York City,school
0,The Co-Op School,Brooklyn,40.687008,-73.938965,School,644 Gates Ave,United States,United States of America,New York City,school
0,PS 219 Kennedy- king School,Brooklyn,40.659015999999994,-73.922512,School,1060 Clarkson Ave,United States,United States of America,New York City,school
0,P.S. 92,Brooklyn,40.656380639288244,-73.95418165534933,School,601 Parkside Ave,United States,United States of America,New York City,school
0,Lefferts Gardens Charter School,Brooklyn,40.656196386297694,-73.95388317487817,School,Parkside Ave,United States,United States of America,New York City,school
0,P.S 135,,40.65333782456146,-73.93313191302582,School,,United States,United States of America,New York City,school
0,St. Marks School,Brooklyn,40.667429,-73.944868,High School,1346 President St,United States,United States of America,New York City,school
0,Bed Stuy Headstart,Brooklyn,40.687979999999996,-73.939926,School,510 Quincy St,United States,United States of America,New York City,school
0,Medgar Evers College,Brooklyn,40.66649981679421,-73.95724105358289,University,1650 Bedford Ave,United States,United States of America,New York City,school
0,W.E.B. Dubois Academic High School,Brooklyn,40.669508,-73.95516500000001,High School,402 Eastern Pkwy,United States,United States of America,New York City,school
0,Paul Robeson High School,Brooklyn,40.67599539382638,-73.93886198903715,High School,150 Albany Ave,United States,United States of America,New York City,school
0,Ohelei Torah,Brooklyn,40.66986028578397,-73.94577236562749,General College & University,667 Eastern Pkwy,United States,United States of America,New York City,school
0,LYFE @ Paul Robeson HS,Brooklyn,40.676114,-73.938919,High School,,United States,United States of America,New York City,school
0,Oholei Menachem Elementary School,Brooklyn,40.66996,-73.945613,Elementary School,667 Eastern Pkwy,United States,United States of America,New York City,school
0,PS 167,Brooklyn,40.66949,-73.934312,Elementary School,1025 Eastern Pkwy,United States,United States of America,New York City,school
0,Elijah G Stroud,Brooklyn,40.67430106882697,-73.96030044034968,College Academic Building,528 Sterling Pl,United States,United States of America,New York City,school
